state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Johor,36479.0,32562.0,30947.0,29568.0,28530.0,27578.0,27152.0,27140.0,26676.0,26220.0,25007.0,25583.0,26277.0,24782.0,25469.0,25154.0,24465.0,24784.0,24438.0,24033.0,21289.0,18653.0,17968.0
Kedah,36797.0,33516.0,31651.0,30113.0,29340.0,28227.0,27494.0,27183.0,27956.0,28062.0,27031.0,27338.0,27277.0,25762.0,26546.0,26318.0,25452.0,25673.0,24718.0,23814.0,23807.0,23033.0,21355.0
Kelantan,44516.0,41208.0,39490.0,37160.0,35981.0,34402.0,33489.0,33157.0,33722.0,34122.0,33973.0,34914.0,33639.0,32444.0,34186.0,33319.0,32104.0,32085.0,30927.0,29349.0,30356.0,28773.0,27703.0
Melaka,35503.0,32255.0,30283.0,29707.0,28233.0,27142.0,25721.0,26096.0,25843.0,24986.0,23695.0,25161.0,25400.0,23975.0,25068.0,24557.0,23974.0,23638.0,23396.0,22839.0,20816.0,19699.0,19490.0
Pahang,34212.0,31443.0,30040.0,28835.0,28146.0,27511.0,26185.0,25973.0,26332.0,26380.0,25913.0,26604.0,26576.0,25786.0,27087.0,26176.0,25474.0,25095.0,24333.0,23232.0,23890.0,22955.0,21900.0
Perak,34844.0,30671.0,29343.0,27249.0,26335.0,24900.0,24240.0,23822.0,23915.0,23690.0,22715.0,23425.0,23308.0,21715.0,22319.0,22063.0,21565.0,20960.0,20293.0,19734.0,18980.0,18373.0,17624.0
Perlis,33605.0,30941.0,29726.0,28181.0,27176.0,26616.0,26004.0,26052.0,27211.0,27283.0,26170.0,26297.0,25959.0,25093.0,27595.0,26046.0,26247.0,26470.0,25864.0,23972.0,21596.0,21259.0,19389.0
Sabah,28409.0,27592.0,25442.0,24002.0,24442.0,24418.0,23360.0,23258.0,24285.0,24888.0,24909.0,24656.0,25425.0,23601.0,23460.0,22053.0,20539.0,20434.0,20403.0,20351.0,21756.0,18289.0,19159.0
Sarawak,34699.0,32684.0,31226.0,30060.0,29154.0,28418.0,27673.0,26974.0,27047.0,26779.0,25014.0,25743.0,25204.0,22940.0,23114.0,22073.0,20805.0,20418.0,19679.0,19604.0,21671.0,19026.0,18761.0
Selangor,32814.0,30489.0,30273.0,29471.0,29656.0,28597.0,28500.0,28395.0,28552.0,28523.0,26834.0,27772.0,28395.0,26209.0,27002.0,26254.0,24953.0,24446.0,23658.0,22787.0,20068.0,19271.0,17799.0
