state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Johor,67183,61432,59699,58230,57339,56524,56737,57780,57838,57849,56064,58167,60444,57402,60443,60543,59561,61085,61084,60261,56908,49990,48254
Kedah,41014,38073,36604,35407,35059,34254,33864,33963,35415,36019,35128,35937,36390,35032,36505,36784,35967,36693,35643,34511,33828,33040,30796
Kelantan,40404,38186,37297,35686,35113,34088,33659,33800,34842,35715,36009,37679,37025,36413,39279,39108,38455,39122,38360,36858,36275,34764,33808
KualaLumpur,29382,27211,25928,25173,24892,23544,24067,24936,25178,25870,24471,25525,26982,25333,27100,25789,25739,24732,24235,23921,23199,21046,19853
Labuan,1495,1486,1466,1584,1513,1509,1587,1581,1680,1656,1631,1734,1773,1743,1871,1953,1752,1685,1691,1678,1714,1522,1374
Melaka,15304,14317,13810,13898,13548,13341,12946,13444,13619,13456,13010,13976,14278,13692,14568,14554,14402,14389,14388,14136,13855,13192,13105
NegeriSembilan,19243,17670,17647,17272,17085,16838,16622,17195,17351,17360,16939,17670,17903,17509,18676,18423,18036,18078,18177,17464,17120,16777,15991
Pahang,29555,27613,26810,26144,25899,25692,24809,24958,25658,26057,25946,27079,27411,26968,28743,28059,27626,27555,27006,25887,25344,24507,23568
Perak,48589,43533,42289,39822,39012,37369,36835,36628,37174,37203,36026,37522,37712,35427,36586,36284,35685,34838,33869,33005,31582,30816,29543
Perlis,4651,4340,4225,4058,3964,3932,3891,3946,4175,4237,4114,4161,4143,4050,4509,4315,4392,4447,4371,4060,4101,4076,3746
PulauPinang,27337,24712,24775,23467,22943,22559,22003,22429,22952,22777,21172,22353,23794,21499,22877,22242,21781,21464,20705,20200,19645,18571,17731
Putrajaya,0,0,0,0,0,0,0,0,0,0,2430,2956,3150,2972,3064,2869,2569,2517,2400,2316,2143,2106,1839
Sabah,49308,48990,46119,44388,46170,47160,46142,47017,50272,52782,54134,54990,58185,56823,57397,54699,52071,52528,53025,52973,49587,41608,43617
Sarawak,47920,46098,44929,44068,43545,43241,42892,42549,43426,43753,41474,43383,43178,40413,41049,39754,37985,37654,36624,36672,35449,31274,30937
Selangor,91635,87758,89735,89933,93176,92456,94737,97055,100284,103023,98429,103686,107946,103173,108932,108131,104661,103987,102125,98836,93577,90118,83658
Trengganu,24833,24060,23205,22269,22542,21966,21907,22366,23339,23887,24262,24776,25698,25465,27013,27629,27521,27911,28242,27085,27177,26337,25304
